# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-10-07 23:20:55 EDT       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 02336240 S.F. PEACHTREE CREEK JOHNSON RD, NEAR ATLANTA, GA
# -----------------------------------------------------------------------------------
#
# Data provided for site 02336240
#            TS   parameter     Description
#         39623       00065     Gage height, feet
#         39624       00060     Discharge, cubic feet per second
#         39626       00010     Temperature, water, degrees Celsius
#         39627       00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius
#         39628       00300     Dissolved oxygen, water, unfiltered, milligrams per liter
#         39629       00400     pH, water, unfiltered, field, standard units
#         39630       63680     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	tz_cd	39623_00065	39623_00065_cd	39624_00060	39624_00060_cd	39626_00010	39626_00010_cd	39627_00095	39627_00095_cd	39628_00300	39628_00300_cd	39629_00400	39629_00400_cd	39630_63680	39630_63680_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	02336240	2020-01-01 00:00	EST	3.55	A	11.3	A	9.7	A	125	A	10.3	A	6.9	A	3.2	A
USGS	02336240	2020-01-01 00:15	EST	3.55	A	11.3	A	9.7	A	125	A	10.3	A	6.9	A	3.0	A
USGS	02336240	2020-01-01 00:30	EST	3.55	A	11.3	A	9.6	A	125	A	10.3	A	6.9	A	3.1	A
USGS	02336240	2020-01-01 00:45	EST	3.55	A	11.3	A	9.6	A	125	A	10.3	A	6.9	A	3.1	A
USGS	02336240	2020-01-01 01:00	EST	3.55	A	11.3	A	9.6	A	126	A	10.3	A	6.9	A	2.9	A
USGS	02336240	2020-01-01 01:15	EST	3.54	A	10.9	A	9.5	A	126	A	10.3	A	6.9	A	3.1	A
USGS	02336240	2020-01-01 01:30	EST	3.55	A	11.3	A	9.5	A	125	A	10.4	A	6.9	A	3.2	A
USGS	02336240	2020-01-01 01:45	EST	3.55	A	11.3	A	9.4	A	126	A	10.3	A	6.9	A	3.2	A
USGS	02336240	2020-01-01 02:00	EST	3.55	A	11.3	A	9.4	A	126	A	10.3	A	6.9	A	3.2	A
USGS	02336240	2020-01-01 02:15	EST	3.55	A	11.3	A	9.4	A	126	A	10.4	A	6.9	A	2.9	A
USGS	02336240	2020-01-01 02:30	EST	3.55	A	11.3	A	9.4	A	126	A	10.4	A	6.9	A	3.2	A
USGS	02336240	2020-01-01 02:45	EST	3.54	A	10.9	A	9.3	A	126	A	10.4	A	6.9	A	3.0	A
